"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_execution[This is a test case for TestCase3]","case.wm630.reboot","Sun Apr 27 13:00:19 CST 2025","passed","Sun Apr 27 13:00:19 CST 2025","TestCase2","test_case_2","",""
"","32","test_execution[This is a test case for TestCase3]","case.wm630.reboot","Sun Apr 27 13:00:19 CST 2025","failed","Sun Apr 27 13:00:19 CST 2025","TestCase3","test_case_3","",""
"","35","test_execution[This is a test case for TestCase2]","case.wm630.reboot","Sun Apr 27 13:00:19 CST 2025","failed","Sun Apr 27 13:00:19 CST 2025","TestCase3","test_case_3","",""
"","1","test_execution[This is a test case for TestCase3]","case.wm630.reboot","Sun Apr 27 13:00:19 CST 2025","passed","Sun Apr 27 13:00:19 CST 2025","TestCase1","test_case_1","",""
"","1","test_execution[This is a test case for TestCase1]","case.wm630.reboot","Sun Apr 27 13:00:19 CST 2025","passed","Sun Apr 27 13:00:19 CST 2025","TestCase2","test_case_2","",""
"","0","test_execution[This is a test case for TestCase2]","case.wm630.reboot","Sun Apr 27 13:00:19 CST 2025","passed","Sun Apr 27 13:00:19 CST 2025","TestCase1","test_case_1","",""
"","1","test_execution[This is a test case for TestCase1]","case.wm630.reboot","Sun Apr 27 13:00:19 CST 2025","passed","Sun Apr 27 13:00:19 CST 2025","TestCase1","test_case_1","",""
"","45","test_execution[This is a test case for TestCase1]","case.wm630.reboot","Sun Apr 27 13:00:19 CST 2025","failed","Sun Apr 27 13:00:19 CST 2025","TestCase3","test_case_3","",""
"","1","test_execution[This is a test case for TestCase2]","case.wm630.reboot","Sun Apr 27 13:00:19 CST 2025","passed","Sun Apr 27 13:00:19 CST 2025","TestCase2","test_case_2","",""
